Village,District,State,Year,Total_Net_Area,Total_Production,Fields_Count,Yield_std,Yield_min,Yield_max,NDVI_S1,NDVI_S2,NDVI_S3,NDVI_S4,NIR_S1,NIR_S2,NIR_S3,NIR_S4,RED_S1,RED_S2,RED_S3,RED_S4,VH_S1,VH_S2,VH_S3,VH_S4,VV_S1,VV_S2,VV_S3,VV_S4,Kg_per_Hectare
aambabadod,aagar,madhya_pradesh,2024.0,0.0992,83.6700416,1.0,46.01483634756405,843.448,843.448,0.272094261216053,0.413083286824939,0.316781790283438,0.183723645941419,0.310163500528115,0.400648954430936,0.323743962628079,0.307522217519568,0.175515213813149,0.157805782019179,0.164018577130493,0.211250013694659,-19.044497192592,-18.2420411256514,-17.6340323588632,-19.6372084199602,-10.5199665986617,-11.2370897121939,-10.8817737976763,-11.7833237742273,843.448
asandhaya,aagar,madhya_pradesh,2024.0,0.099,92.010006,1.0,46.01483634756405,929.394,929.394,0.240052262336105,0.554488210727688,0.496437559507846,0.304657634122307,0.280839448778587,0.483548649747903,0.417968105920628,0.358793602179412,0.169601184634077,0.129940680068582,0.136690159235089,0.190073285654477,-19.2078454960836,-17.952194048784,-18.1807421905254,-18.6746309561937,-9.58118488815065,-11.0925995013112,-12.3347856809476,-12.517407639355,929.394
barai,aagar,madhya_pradesh,2024.0,0.3036,261.2999654,3.0,51.7738902375834,814.639,916.585,0.214581289048793,0.398069933290941,0.425789808910646,0.296265911822043,0.27581457451842,0.386191759688809,0.38601611883045,0.341701493043589,0.172024571482501,0.153512323483006,0.145375983391819,0.18099355075825,-19.3417131951566,-17.6477242666226,-17.1674805143724,-18.3434012667888,-10.4546219932379,-10.4691053461994,-11.4662185412732,-11.8860259576974,860.671822793149
bargdi,aagar,madhya_pradesh,2023.0,0.3976,266.3899594,4.0,53.0405759921905,616.224,721.688,0.240385022005672,0.350085112949531,0.315289608470862,0.255541920296918,0.319690395506227,0.397758275571745,0.38732420311752,0.358486077897747,0.196779453818524,0.182014838429762,0.196338327647634,0.211323200778589,-17.2142757274267,-19.076850796373,-19.6716246356475,-18.379520673829198,-9.41670320333743,-11.6717844293831,-12.4692151796328,-11.8960129328626,669.994867706237
bargdi,aagar,madhya_pradesh,2024.0,0.2005,179.1899605,2.0,2.84327636715108,891.7,895.721,0.199925705638342,0.375387860751813,0.321003308527067,0.206621211401399,0.293352157128301,0.390182832594899,0.349623940344689,0.330854508715994,0.195415269073883,0.167776056144635,0.173029459546757,0.216149565507754,-19.7976992074985,-19.1232580683698,-19.4287242170597,-20.0569817008408,-10.6745370879326,-11.4609209166793,-12.1613907614957,-12.1961950755459,893.715513715711
bhimakhedi,aagar,madhya_pradesh,2023.0,0.3006,187.7899964,3.0,29.44922261,592.369,650.148,0.359169585690409,0.506954058876721,0.479448671268012,0.421649276041959,0.345312385882576,0.479592878744659,0.46107373798172,0.405588472198181,0.160502368039506,0.152280067093276,0.158890574329518,0.163282297435776,-15.5396935994877,-17.9050159661633,-19.4957704594263,-18.379520673829198,-8.69790233496846,-11.7281345870537,-13.478676648295,-11.8960129328626,624.717220226214
bijnakhedi,aagar,madhya_pradesh,2024.0,0.1028,93.6499776,1.0,46.01483634756405,910.992,910.992,0.180698989601403,0.288737035411687,0.260774443705617,0.188366481129046,0.297838192062124,0.352590539113827,0.312080823982973,0.306902150732558,0.201119476988823,0.178718756919305,0.172268584016447,0.206904474910329,-21.5618998694527,-20.9324716758028,-20.822368113109,-21.0881446916417,-11.854908194658,-12.527754150267,-12.2750041386577,-12.5979986918348,910.992
dehariyasoyat,aagar,madhya_pradesh,2024.0,0.1,96.84,1.0,46.01483634756405,968.4,968.4,0.212585031525344,0.324328859527562,0.328654300345032,0.225921458498855,0.295799971051184,0.336573071220117,0.345494723505332,0.32399986644712,0.187234029248237,0.160310611942744,0.16555235152865,0.202032707931267,-18.6936462600196,-17.4163251853984,-17.5283488929783,-18.196034466301,-9.90341010846393,-9.51170856284343,-10.845041385965,-10.8992922356502,968.4
devliagar,aagar,madhya_pradesh,2024.0,0.0999,80.2000197,1.0,46.01483634756405,802.803,802.803,0.335891766764452,0.479415032817724,0.368099046151464,0.192377152961223,0.337032535937848,0.440222744598102,0.342807071169925,0.314013796331163,0.164813141946516,0.144710312326215,0.155050338787568,0.212488474949149,-19.2223934688161,-18.7701814158944,-17.926163018951,-20.1640777014677,-10.9071622231029,-11.7487857817395,-11.3668264583598,-12.3366684876339,802.803
dhodhar,aagar,madhya_pradesh,2023.0,0.7002,478.7399426,7.0,49.8715750999743,598.6,725.8,0.316021722280823,0.471823737393703,0.440193145894476,0.405617897692439,0.334438843191472,0.46654681135385,0.443550408544906,0.410709579368502,0.169780341547426,0.158376636120677,0.166703940850269,0.172237900401058,-15.6832206166512,-17.6876831354251,-18.705358256816,-18.379520673829198,-8.72707267063262,-11.2560814698552,-12.4771869969702,-11.8960129328626,683.718855469866
