NDVI,NIR,RED,VH,VV,Villl_name,Stage,Date,District
0.48978786,0.245404491,0.075816611,-16.74059506,-8.907470807,REHTADI,S_1,2023-11-20,MANDSAUR
0.426070803,0.23651902,0.094828036,-16.74343255,-9.491514489,KOYLA,S_1,2023-11-20,MANDSAUR
-0.10227023,0.05762403,0.042854707,-30.98640198,-18.45180151,SUJANPURA,S_1,2023-11-20,MANDSAUR
-0.168880646,0.046888173,0.037232653,-31.31423484,-18.50350384,KHEDI,S_1,2023-11-20,RATLAM
0.278854996,0.182172791,0.099132341,-17.76122803,-9.246220837,KARANPURA,S_1,2023-11-20,MANDSAUR
0.395206914,0.234834599,0.099018138,-18.25743887,-9.90635774,GORDHANPURA,S_1,2023-11-20,MANDSAUR
0.333551905,0.200381572,0.097815098,-18.05393526,-9.533406558,RALAYATA,S_1,2023-11-20,MANDSAUR
0.335382365,0.196805698,0.092054672,-17.47758011,-9.397434546,BARKHEDI,S_1,2023-11-20,RATLAM
0.371842989,0.219654847,0.098444183,-17.4599198,-9.613770302,SINDPAN,S_1,2023-11-20,MANDSAUR
0.495971201,0.240590756,0.073193506,-16.56427574,-9.454097356,HANUMANTIYA,S_1,2023-11-20,MANDSAUR
0.281462709,0.190222389,0.10045211,-18.4159612,-10.39467123,MUNDADI,S_1,2023-11-20,MANDSAUR
0.500452668,0.250464401,0.078403708,-16.29720994,-9.694095342,SELAWARI,S_1,2023-11-20,MANDSAUR
0.426489166,0.247358088,0.095346332,-16.99304063,-9.97356525,AMARPURA,S_1,2023-11-20,MANDSAUR
0.526410387,0.250074133,0.072563011,-16.11254848,-9.75735789,SONI,S_1,2023-11-20,MANDSAUR
0.476749025,0.253358051,0.088042873,-16.37436531,-9.652016973,JETPURA,S_1,2023-11-20,MANDSAUR
0.530016785,0.262918457,0.075741969,-16.43525162,-9.873127076,NINORA,S_1,2023-11-20,MANDSAUR
0.536637576,0.28228911,0.079636825,-16.21321392,-9.623674042,SEMLI,S_1,2023-11-20,MANDSAUR
0.523521692,0.280244246,0.08503241,-16.28038876,-9.668047809,DHAKDI,S_1,2023-11-20,MANDSAUR
