Vill_name,Kg_per_Hectare,District
rehtadi,661.8516,MANDSAUR
koyla,646.757571428571,MANDSAUR
sujanpura,679.3935,MANDSAUR
khedi,698.073,MANDSAUR
karanpura,718.268857142857,MANDSAUR
gordhanpura,732.038875,MANDSAUR
ralayata,615.016345454546,MANDSAUR
barkhedi,699.637,MANDSAUR
sindpan,688.887815789474,MANDSAUR
hanumantiya,655.014914285714,MANDSAUR
mundadi,707.096652173913,MANDSAUR
selawari,719.927222222222,MANDSAUR
amarpura,691.167692307692,MANDSAUR
soni,670.5796,MANDSAUR
jetpura,707.5035,MANDSAUR
ninora,683.34896969697,MANDSAUR
semli,679.532755102041,MANDSAUR
dhakdi,703.328,MANDSAUR
sujanpura,679.3935,MANDSAUR
bardal,703.962428571428,MANDSAUR
mundli,695.711666666667,MANDSAUR
kherkheda,719.8519722222221,MANDSAUR
paheda,727.341604651163,MANDSAUR
rupi,660.237304347826,MANDSAUR
sokdi,642.5325,MANDSAUR
pamakheda,672.458272727273,MANDSAUR
jharda,728.336648648649,MANDSAUR
harmala,721.1895625,MANDSAUR
kachnara,717.418055555556,MANDSAUR
khatyakhedi,607.000411764706,MANDSAUR
limbawas,718.093557692308,MANDSAUR
badpur,703.80775,MANDSAUR
banskhedi,733.787230769231,MANDSAUR
chitakhedi,701.725076923077,MANDSAUR
lunaheda,623.607571428571,MANDSAUR
tidwas,810.327363636364,MANDSAUR
pipalkhedi,750.229333333333,MANDSAUR
khejdi,714.373366666667,MANDSAUR
khunti,717.855591836735,MANDSAUR
koyla,646.757571428571,MANDSAUR
khedakoyla,688.0061539130817,
sudwas,732.043588235294,MANDSAUR
aabakhedi,697.821,MANDSAUR
gopalpura,697.392196428571,MANDSAUR
chandankheda,608.6305,MANDSAUR
harsol,698.031166666667,MANDSAUR
khejdi,714.373366666667,MANDSAUR
pirguradiya,712.955125,MANDSAUR
bhilkhedi,713.10575,MANDSAUR
ruparel,711.3418,MANDSAUR
chhayan,784.572,MANDSAUR
thadod,712.715,MANDSAUR
botalganj,657.2335,MANDSAUR
haripura,682.742272727273,MANDSAUR
banskhedi,733.787230769231,MANDSAUR
mindlakheda,658.067772727273,MANDSAUR
badri,696.50152173913,MANDSAUR
jalodiya,677.846869565217,MANDSAUR
changeri,707.900894736842,MANDSAUR
kherkheda,719.8519722222221,MANDSAUR
gopalpura,697.392196428571,MANDSAUR
haripura,682.742272727273,MANDSAUR
borkhedi,680.70125,MANDSAUR
ranayara,711.327207792208,MANDSAUR
bhilkhedi,713.10575,MANDSAUR
gopalpura,697.392196428571,MANDSAUR
karadiya,636.1926,MANDSAUR
chandrapura,736.404538461539,MANDSAUR
karadiya,636.1926,MANDSAUR
ranayara,711.327207792208,MANDSAUR
mundla,718.640210526316,MANDSAUR
ruparel,711.3418,MANDSAUR
gopalpura,697.392196428571,MANDSAUR
manpura,710.9046,MANDSAUR
banskhedi,733.787230769231,MANDSAUR
chhayan,784.572,MANDSAUR
takarda,702.575866666667,MANDSAUR
dhamnar,640.77652,MANDSAUR
jhawal,694.729266666667,MANDSAUR
badwan,710.4882,MANDSAUR
jhirkan,660.974325,MANDSAUR
jogikheda,688.0061539130817,
guliyana,709.741391304348,MANDSAUR
kheda dhamnar,688.0061539130817,MANDSAUR
chhayan,784.572,MANDSAUR
ladusa,687.275071428571,MANDSAUR
bagya,635.2505,MANDSAUR
songari,727.867,MANDSAUR
ishakpur,707.925210526316,MANDSAUR
lasudi,744.398,MANDSAUR
morkheda,701.692625,MANDSAUR
mundla,718.640210526316,MANDSAUR
marukhedi,658.193666666667,MANDSAUR
tumdawada,704.519133333333,MANDSAUR
bhatrewas,711.039314285714,MANDSAUR
jhakarda,732.758181818182,MANDSAUR
gudiyana,644.568142857143,MANDSAUR
pithakhedi nahargarh,688.0061539130817,MANDSAUR
kolwa,692.057918032787,MANDSAUR
udpura,693.961594594595,MANDSAUR
dhikola,608.67202173913,MANDSAUR
damdam,538.978214285714,MANDSAUR
panpur,658.85693220339,MANDSAUR
khajuri badayala,688.0061539130817,MANDSAUR
achera,649.109142857143,MANDSAUR
buchakhedi,570.402,MANDSAUR
dilawara,572.337333333333,MANDSAUR
malyakhedi,575.979666666667,MANDSAUR
jamalpura,613.646444444445,MANDSAUR
